Record Date,Security Type Description,Security Class Description,Securities Sold Count
2022-03-31,Marketable,Bill,15033
2022-03-31,Marketable,Bond,314
2022-03-31,Marketable,Note,5002
2022-02-28,Savings Bond,EE,17539
2022-02-28,Savings Bond,I,187349
2022-02-28,Marketable,Bill,10246
2022-02-28,Marketable,Bond,736
2022-02-28,Marketable,Note,3116
2022-01-31,Savings Bond,EE,22487
2022-01-31,Savings Bond,I,469779
2022-01-31,Marketable,Bill,7947
2022-01-31,Marketable,Bond,197
2022-01-31,Marketable,Note,3511
2021-12-31,Savings Bond,EE,36713
2021-12-31,Savings Bond,I,436909
2021-12-31,Marketable,Bill,7342
2021-12-31,Marketable,Bond,232
2021-12-31,Marketable,Note,3165
2021-11-30,Savings Bond,EE,21386
2021-11-30,Savings Bond,I,204130
2021-11-30,Marketable,Bill,6841
2021-11-30,Marketable,Bond,402
2021-11-30,Marketable,Note,3298
2021-10-31,Savings Bond,EE,19088
2021-10-31,Savings Bond,I,76641
2021-10-31,Marketable,Bond,97
2021-10-31,Marketable,Note,1261
2021-10-31,Marketable,Bill,6254
2021-09-30,Savings Bond,EE,18684
2021-09-30,Savings Bond,I,51538
2021-09-30,Marketable,Bill,6886
2021-09-30,Marketable,Bond,207
2021-09-30,Marketable,Note,1941
2021-08-31,Savings Bond,EE,19287
2021-08-31,Savings Bond,I,56105
2021-08-31,Marketable,Bill,7206
2021-08-31,Marketable,Bond,538
2021-08-31,Marketable,Note,2812
2021-07-31,Savings Bond,EE,19589
2021-07-31,Savings Bond,I,60253
2021-07-31,Marketable,Bill,7439
2021-07-31,Marketable,Bond,131
2021-07-31,Marketable,Note,1081
2021-06-30,Savings Bond,EE,20556
2021-06-30,Savings Bond,I,80193
2021-06-30,Marketable,Bill,6944
2021-06-30,Marketable,Bond,468
2021-06-30,Marketable,Note,3629
2021-05-31,Savings Bond,EE,18783
2021-05-31,Savings Bond,I,54571
2021-05-31,Marketable,Bill,6695
2021-05-31,Marketable,Bond,255
2021-05-31,Marketable,Note,1273
2021-04-30,Savings Bond,EE,21810
2021-04-30,Savings Bond,I,41348
2021-04-30,Marketable,Bill,8252
2021-04-30,Marketable,Bond,372
2021-04-30,Marketable,Note,3042
2021-03-31,Savings Bond,EE,22589
2021-03-31,Savings Bond,I,43346
2021-03-31,Marketable,Bill,9560
2021-03-31,Marketable,Bond,599
2021-03-31,Marketable,Note,3651
2021-02-28,Savings Bond,EE,19473
2021-02-28,Savings Bond,I,37795
2021-02-28,Marketable,Bill,9025
2021-02-28,Marketable,Bond,526
2021-02-28,Marketable,Note,1898
2021-01-31,Savings Bond,EE,23005
2021-01-31,Savings Bond,I,49510
2021-01-31,Marketable,Bill,9248
2021-01-31,Marketable,Bond,115
2021-01-31,Marketable,Note,902
2020-12-31,Savings Bond,EE,40451
2020-12-31,Savings Bond,I,58705
2020-12-31,Marketable,Bill,10607
2020-12-31,Marketable,Bond,250
2020-12-31,Marketable,Note,1759
2020-11-30,Savings Bond,EE,22258
2020-11-30,Savings Bond,I,40696
2020-11-30,Marketable,Bill,8546
2020-11-30,Marketable,Bond,405
2020-11-30,Marketable,Note,2563
2020-10-31,Savings Bond,EE,21845
2020-10-31,Savings Bond,I,37803
2020-10-31,Marketable,Bill,9434
2020-10-31,Marketable,Bond,100
2020-10-31,Marketable,Note,860
2020-09-30,Savings Bond,EE,20529
2020-09-30,Savings Bond,I,35184
2020-09-30,Marketable,Bill,9925
2020-09-30,Marketable,Bond,185
2020-09-30,Marketable,Note,1592
2020-08-31,Savings Bond,EE,20632
2020-08-31,Savings Bond,I,35400
2020-08-31,Marketable,Bill,10092
2020-08-31,Marketable,Bond,411
2020-08-31,Marketable,Note,1424
2020-07-31,Savings Bond,EE,21111
2020-07-31,Savings Bond,I,37417
2020-07-31,Marketable,Bill,11230
2020-07-31,Marketable,Bond,171
2020-07-31,Marketable,Note,1859
2020-06-30,Savings Bond,EE,19869
2020-06-30,Savings Bond,I,34820
2020-06-30,Marketable,Bill,11721
2020-06-30,Marketable,Bond,359
2020-06-30,Marketable,Note,2663
2020-05-31,Savings Bond,EE,20840
2020-05-31,Savings Bond,I,36726
2020-05-31,Marketable,Bill,10733
2020-05-31,Marketable,Bond,283
2020-05-31,Marketable,Note,851
2020-04-30,Savings Bond,EE,20302
2020-04-30,Savings Bond,I,44923
2020-04-30,Marketable,Bill,11897
2020-04-30,Marketable,Bond,103
2020-04-30,Marketable,Note,2005
2020-03-31,Savings Bond,EE,19701
2020-03-31,Savings Bond,I,41843
2020-03-31,Marketable,Bill,18815
2020-03-31,Marketable,Bond,134
2020-03-31,Marketable,Note,3074
2020-02-29,Savings Bond,EE,18731
2020-02-29,Savings Bond,I,36332
2020-02-29,Marketable,Bill,22972
2020-02-29,Marketable,Bond,458
2020-02-29,Marketable,Note,878
2020-01-31,Savings Bond,EE,23064
2020-01-31,Savings Bond,I,47765
2020-01-31,Marketable,Bill,26795
2020-01-31,Marketable,Bond,158
2020-01-31,Marketable,Note,2900
2019-12-31,Savings Bond,EE,41172
2019-12-31,Savings Bond,I,58162
2019-12-31,Marketable,Bill,23403
2019-12-31,Marketable,Bond,184
2019-12-31,Marketable,Note,3867
2019-11-30,Savings Bond,EE,22036
2019-11-30,Savings Bond,I,39820
2019-11-30,Marketable,Bill,22058
2019-11-30,Marketable,Bond,222
2019-11-30,Marketable,Note,968
2019-10-31,Savings Bond,EE,20292
2019-10-31,Savings Bond,I,39444
2019-10-31,Marketable,Bill,29336
2019-10-31,Marketable,Bond,102
2019-10-31,Marketable,Note,2215
2019-09-30,Savings Bond,EE,19449
2019-09-30,Savings Bond,I,36905
2019-09-30,Marketable,Bill,25378
2019-09-30,Marketable,Bond,151
2019-09-30,Marketable,Note,3798
2019-08-31,Savings Bond,EE,20731
2019-08-31,Savings Bond,I,38150
2019-08-31,Marketable,Bill,27921
2019-08-31,Marketable,Bond,306
2019-08-31,Marketable,Note,840
2019-07-31,Savings Bond,EE,20602
2019-07-31,Savings Bond,I,39186
2019-07-31,Marketable,Bill,31270
2019-07-31,Marketable,Bond,116
2019-07-31,Marketable,Note,4073
2019-06-30,Savings Bond,EE,18398
2019-06-30,Savings Bond,I,35151
2019-06-30,Marketable,Bill,29880
2019-06-30,Marketable,Bond,204
2019-06-30,Marketable,Note,1108
2019-05-31,Savings Bond,EE,21392
2019-05-31,Savings Bond,I,41935
2019-05-31,Marketable,Bill,35756
2019-05-31,Marketable,Bond,262
2019-05-31,Marketable,Note,3347
2019-04-30,Savings Bond,EE,21029
2019-04-30,Savings Bond,I,46833
2019-04-30,Marketable,Bill,39453
2019-04-30,Marketable,Bond,168
2019-04-30,Marketable,Note,5882
2019-03-31,Savings Bond,EE,20302
2019-03-31,Savings Bond,I,43316
2019-03-31,Marketable,Bill,34446
2019-03-31,Marketable,Bond,230
2019-03-31,Marketable,Note,1419
2019-02-28,Savings Bond,EE,19502
2019-02-28,Savings Bond,I,41435
2019-02-28,Marketable,Bill,34653
2019-02-28,Marketable,Bond,494
2019-02-28,Marketable,Note,3762
2019-01-31,Savings Bond,EE,22668
2019-01-31,Savings Bond,I,49625
2019-01-31,Marketable,Bill,45587
2019-01-31,Marketable,Bond,192
2019-01-31,Marketable,Note,4235
2018-12-31,Savings Bond,EE,42406
2018-12-31,Savings Bond,I,62417
2018-12-31,Marketable,Bill,29426
2018-12-31,Marketable,Bond,231
2018-12-31,Marketable,Note,4483
2018-11-30,Savings Bond,EE,24201
2018-11-30,Savings Bond,I,49022
2018-11-30,Marketable,Bill,38619
2018-11-30,Marketable,Bond,299
2018-11-30,Marketable,Note,5095
2018-10-31,Savings Bond,EE,21479
2018-10-31,Savings Bond,I,40657
2018-10-31,Marketable,Bill,31456
2018-10-31,Marketable,Bond,254
2018-10-31,Marketable,Note,7369
2018-09-30,Savings Bond,EE,18949
2018-09-30,Savings Bond,I,36120
2018-09-30,Marketable,Bill,26153
2018-09-30,Marketable,Bond,190
2018-09-30,Marketable,Note,1360
2018-08-31,Savings Bond,EE,21628
2018-08-31,Savings Bond,I,41097
2018-08-31,Marketable,Bill,32536
2018-08-31,Marketable,Bond,272
2018-08-31,Marketable,Note,4837
2018-07-31,Savings Bond,EE,21452
2018-07-31,Savings Bond,I,40813
2018-07-31,Marketable,Bill,25118
2018-07-31,Marketable,Bond,164
2018-07-31,Marketable,Note,7125
2018-06-30,Savings Bond,EE,21090
2018-06-30,Savings Bond,I,41611
2018-06-30,Marketable,Bill,25077
2018-06-30,Marketable,Bond,351
2018-06-30,Marketable,Note,1309
2018-05-31,Savings Bond,EE,20890
2018-05-31,Savings Bond,I,44988
2018-05-31,Marketable,Bill,29754
2018-05-31,Marketable,Bond,323
2018-05-31,Marketable,Note,5019
2018-04-30,Savings Bond,EE,21372
2018-04-30,Savings Bond,I,41870
2018-04-30,Marketable,Bill,20552
2018-04-30,Marketable,Bond,191
2018-04-30,Marketable,Note,7248
2018-03-31,Savings Bond,EE,22678
2018-03-31,Savings Bond,I,43804
2018-03-31,Marketable,Bill,23980
2018-03-31,Marketable,Bond,286
2018-03-31,Marketable,Note,1565
2018-02-28,Savings Bond,EE,20755
2018-02-28,Savings Bond,I,40718
2018-02-28,Marketable,Bill,15199
2018-02-28,Marketable,Bond,517
2018-02-28,Marketable,Note,3821
2018-01-31,Savings Bond,EE,26044
